beat_order,merged_sample_index,merged_milliseconds,merged_timestamp,source,primary_lead,primary_alias,window_index,window_start,window_end,selection_reason,selected_quality_label,selected_quality_score
1,209,1045.0,2022-12-12 15:34:14.045000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
2,343,1715.0,2022-12-12 15:34:14.715000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
3,472,2360.0,2022-12-12 15:34:15.360000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
4,601,3005.0,2022-12-12 15:34:16.005000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
5,731,3655.0,2022-12-12 15:34:16.655000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
6,858,4290.0,2022-12-12 15:34:17.290000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
7,983,4915.0,2022-12-12 15:34:17.915000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
8,1108,5540.0,2022-12-12 15:34:18.540000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
9,1233,6165.0,2022-12-12 15:34:19.165000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
10,1361,6805.0,2022-12-12 15:34:19.805000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
11,1490,7450.0,2022-12-12 15:34:20.450000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
12,1616,8080.0,2022-12-12 15:34:21.080000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
13,1740,8700.0,2022-12-12 15:34:21.700000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
14,1863,9315.0,2022-12-12 15:34:22.315000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
15,1988,9940.0,2022-12-12 15:34:22.940000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
16,2114,10570.0,2022-12-12 15:34:23.570000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
17,2242,11210.0,2022-12-12 15:34:24.210000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
18,2374,11870.0,2022-12-12 15:34:24.870000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
19,2505,12525.0,2022-12-12 15:34:25.525000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
20,2634,13170.0,2022-12-12 15:34:26.170000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
21,2760,13800.0,2022-12-12 15:34:26.800000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
22,2888,14440.0,2022-12-12 15:34:27.440000,ECG_CH1-selected,ECG_CH1,V5,0,2022-12-12 15:34:13,2022-12-12 15:34:28,higher_quality_v5,Barely acceptable,1
23,3016,15080.0,2022-12-12 15:34:28.080000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
24,3143,15715.0,2022-12-12 15:34:28.715000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
25,3269,16345.0,2022-12-12 15:34:29.345000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
26,3397,16985.0,2022-12-12 15:34:29.985000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
27,3529,17645.0,2022-12-12 15:34:30.645000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
28,3664,18320.0,2022-12-12 15:34:31.320000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
29,3800,19000.0,2022-12-12 15:34:32,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
30,3930,19650.0,2022-12-12 15:34:32.650000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
31,4060,20300.0,2022-12-12 15:34:33.300000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
32,4195,20975.0,2022-12-12 15:34:33.975000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
33,4329,21645.0,2022-12-12 15:34:34.645000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
34,4461,22305.0,2022-12-12 15:34:35.305000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
35,4591,22955.0,2022-12-12 15:34:35.955000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
36,4721,23605.0,2022-12-12 15:34:36.605000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
37,4853,24265.0,2022-12-12 15:34:37.265000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
38,4980,24900.0,2022-12-12 15:34:37.900000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
39,5107,25535.0,2022-12-12 15:34:38.535000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
40,5237,26185.0,2022-12-12 15:34:39.185000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
41,5368,26840.0,2022-12-12 15:34:39.840000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
42,5508,27540.0,2022-12-12 15:34:40.540000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
43,5636,28180.0,2022-12-12 15:34:41.180000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
44,5764,28820.0,2022-12-12 15:34:41.820000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
45,5893,29465.0,2022-12-12 15:34:42.465000,ECG_CH1-selected,ECG_CH1,V5,1,2022-12-12 15:34:28,2022-12-12 15:34:43,higher_quality_v5,Excellent,2
46,6032,30160.0,2022-12-12 15:34:43.160000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
47,6164,30820.0,2022-12-12 15:34:43.820000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
48,6297,31485.0,2022-12-12 15:34:44.485000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
49,6427,32135.0,2022-12-12 15:34:45.135000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
50,6553,32765.0,2022-12-12 15:34:45.765000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
51,6692,33460.0,2022-12-12 15:34:46.460000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
52,6832,34160.0,2022-12-12 15:34:47.160000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
53,6975,34875.0,2022-12-12 15:34:47.875000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
54,7119,35595.0,2022-12-12 15:34:48.595000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
55,7255,36275.0,2022-12-12 15:34:49.275000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
56,7386,36930.0,2022-12-12 15:34:49.930000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
57,7520,37600.0,2022-12-12 15:34:50.600000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
58,7653,38265.0,2022-12-12 15:34:51.265000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
59,7783,38915.0,2022-12-12 15:34:51.915000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
60,7916,39580.0,2022-12-12 15:34:52.580000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
61,8048,40240.0,2022-12-12 15:34:53.240000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
62,8177,40885.0,2022-12-12 15:34:53.885000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
63,8304,41520.0,2022-12-12 15:34:54.520000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
64,8429,42145.0,2022-12-12 15:34:55.145000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
65,8554,42770.0,2022-12-12 15:34:55.770000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
66,8683,43415.0,2022-12-12 15:34:56.415000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
67,8813,44065.0,2022-12-12 15:34:57.065000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
68,8943,44715.0,2022-12-12 15:34:57.715000,ECG_CH1-selected,ECG_CH1,V5,2,2022-12-12 15:34:43,2022-12-12 15:34:58,higher_quality_v5,Excellent,2
69,9073,45365.0,2022-12-12 15:34:58.365000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
70,9199,45995.0,2022-12-12 15:34:58.995000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
71,9326,46630.0,2022-12-12 15:34:59.630000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
72,9452,47260.0,2022-12-12 15:35:00.260000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
73,9577,47885.0,2022-12-12 15:35:00.885000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
74,9702,48510.0,2022-12-12 15:35:01.510000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
75,9826,49130.0,2022-12-12 15:35:02.130000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
76,9953,49765.0,2022-12-12 15:35:02.765000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
77,10082,50410.0,2022-12-12 15:35:03.410000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
78,10214,51070.0,2022-12-12 15:35:04.070000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
79,10344,51720.0,2022-12-12 15:35:04.720000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
80,10421,52105.0,2022-12-12 15:35:05.105000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
81,10526,52630.0,2022-12-12 15:35:05.630000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
82,10598,52990.0,2022-12-12 15:35:05.990000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
83,10727,53635.0,2022-12-12 15:35:06.635000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
84,10855,54275.0,2022-12-12 15:35:07.275000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
85,10981,54905.0,2022-12-12 15:35:07.905000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
86,11106,55530.0,2022-12-12 15:35:08.530000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
87,11230,56150.0,2022-12-12 15:35:09.150000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
88,11353,56765.0,2022-12-12 15:35:09.765000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
89,11476,57380.0,2022-12-12 15:35:10.380000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
90,11598,57990.0,2022-12-12 15:35:10.990000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
91,11719,58595.0,2022-12-12 15:35:11.595000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
92,11844,59220.0,2022-12-12 15:35:12.220000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
93,11968,59840.0,2022-12-12 15:35:12.840000,ECG_CH1-selected,ECG_CH1,V5,3,2022-12-12 15:34:58,2022-12-12 15:35:13,higher_quality_v5,Barely acceptable,1
94,12092,60460.0,2022-12-12 15:35:13.460000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
95,12218,61090.0,2022-12-12 15:35:14.090000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
96,12345,61725.0,2022-12-12 15:35:14.725000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
97,12469,62345.0,2022-12-12 15:35:15.345000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
98,12592,62960.0,2022-12-12 15:35:15.960000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
99,12713,63565.0,2022-12-12 15:35:16.565000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
100,12834,64170.0,2022-12-12 15:35:17.170000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
101,12954,64770.0,2022-12-12 15:35:17.770000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
102,13074,65370.0,2022-12-12 15:35:18.370000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
103,13193,65965.0,2022-12-12 15:35:18.965000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
104,13312,66560.0,2022-12-12 15:35:19.560000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
105,13432,67160.0,2022-12-12 15:35:20.160000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
106,13551,67755.0,2022-12-12 15:35:20.755000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
107,13668,68340.0,2022-12-12 15:35:21.340000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
108,13786,68930.0,2022-12-12 15:35:21.930000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
109,13907,69535.0,2022-12-12 15:35:22.535000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
110,14031,70155.0,2022-12-12 15:35:23.155000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
111,14156,70780.0,2022-12-12 15:35:23.780000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
112,14279,71395.0,2022-12-12 15:35:24.395000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
113,14399,71995.0,2022-12-12 15:35:24.995000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
114,14521,72605.0,2022-12-12 15:35:25.605000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
115,14642,73210.0,2022-12-12 15:35:26.210000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
116,14761,73805.0,2022-12-12 15:35:26.805000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
117,14886,74430.0,2022-12-12 15:35:27.430000,ECG_CH3-selected,ECG_CH3,V1,4,2022-12-12 15:35:13,2022-12-12 15:35:28,higher_quality_v1,Excellent,2
118,15011,75055.0,2022-12-12 15:35:28.055000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
119,15136,75680.0,2022-12-12 15:35:28.680000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
120,15261,76305.0,2022-12-12 15:35:29.305000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
121,15386,76930.0,2022-12-12 15:35:29.930000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
122,15508,77540.0,2022-12-12 15:35:30.540000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
123,15632,78160.0,2022-12-12 15:35:31.160000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
124,15758,78790.0,2022-12-12 15:35:31.790000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
125,15882,79410.0,2022-12-12 15:35:32.410000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
126,16006,80030.0,2022-12-12 15:35:33.030000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
127,16129,80645.0,2022-12-12 15:35:33.645000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
128,16251,81255.0,2022-12-12 15:35:34.255000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
129,16377,81885.0,2022-12-12 15:35:34.885000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
130,16501,82505.0,2022-12-12 15:35:35.505000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
131,16625,83125.0,2022-12-12 15:35:36.125000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
132,16748,83740.0,2022-12-12 15:35:36.740000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
133,16872,84360.0,2022-12-12 15:35:37.360000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
134,16996,84980.0,2022-12-12 15:35:37.980000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
135,17118,85590.0,2022-12-12 15:35:38.590000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
136,17240,86200.0,2022-12-12 15:35:39.200000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
137,17361,86805.0,2022-12-12 15:35:39.805000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
138,17481,87405.0,2022-12-12 15:35:40.405000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
139,17601,88005.0,2022-12-12 15:35:41.005000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
140,17721,88605.0,2022-12-12 15:35:41.605000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
141,17843,89215.0,2022-12-12 15:35:42.215000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
142,17965,89825.0,2022-12-12 15:35:42.825000,ECG_CH1-selected,ECG_CH1,V5,5,2022-12-12 15:35:28,2022-12-12 15:35:43,tie_prefer_v5,Barely acceptable,1
143,18085,90425.0,2022-12-12 15:35:43.425000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
144,18205,91025.0,2022-12-12 15:35:44.025000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
145,18324,91620.0,2022-12-12 15:35:44.620000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
146,18444,92220.0,2022-12-12 15:35:45.220000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
147,18563,92815.0,2022-12-12 15:35:45.815000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
148,18682,93410.0,2022-12-12 15:35:46.410000,ECG_CH1-selected,ECG_CH1,V5,6,2022-12-12 15:35:43,2022-12-12 15:35:58,tie_prefer_v5,Barely acceptable,1
